CIG,OGGETTO,AMMINISTRAZIONE APPALTANTE,RUP,DATA PUBBLICAZIONE,DATA AGGIUDICAZIONE,VALORE A BASE D’ASTA,VALORE AGGIUDICAZIONE,TIPOLOGIA CONTRATTO,LOCALIZZAZIONE
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6A106A32A&next=dettaglio_cig"" target=""_blank"">B6A106A32A</a></span>",FV CON ACCUMULO,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=84000410831&next=dettaglio_sa"" target=""_blank"">COMUNE DI SAN FRATELLO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6A106A32A&next=dettaglio_rup"" target=""_blank"">ALBERTO COLLOVA'</a></span>",2025-04-28,,43800.0,,FORNITURE,Messina
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B474D3250C&next=dettaglio_cig"" target=""_blank"">B474D3250C</a></span>",MANUTENZIONE STRAORDINARIA DELLA STRADA BIANCA DI ACCESSO IMPIANTO TRATTAMENTO RIFIUTI. LOC. STRILLAIE COMUNE DI GROSSETO,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00082520537&next=dettaglio_sa"" target=""_blank"">COMUNE DI GROSSETO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B474D3250C&next=dettaglio_rup"" target=""_blank"">STEFANO SPALLONE</a></span>",2025-01-13,2024-11-26,76216.47,76216.47,LAVORI,Grosseto
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5F0937C10&next=dettaglio_cig"" target=""_blank"">B5F0937C10</a></span>",CONTRATTO APPLICATIVO SU ORDINE QUADRO N° 8820004336 - T_46450/2024 - TL-PROGETTAZIONE PER PREDISPOSIZIONE PRATICA AUTORIZZATIVACONDENSATORE AD ARIA CICLO COMBINATO TL800 - CENTRALE TURBIGO,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=09357630012&next=dettaglio_sa"" target=""_blank"">IREN ENERGIA SPA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5F0937C10&next=dettaglio_rup"" target=""_blank"">JUAN CARLOS PICCININI</a></span>",2025-03-06,2025-03-06,188700.0,188700.0,SERVIZI,Torino
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6DD95EE23&next=dettaglio_cig"" target=""_blank"">B6DD95EE23</a></span>",PN VSF 15/25/SUA,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=84000770580&next=dettaglio_sa"" target=""_blank"">COMUNE DI FRASCATI</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6DD95EE23&next=dettaglio_rup"" target=""_blank"">GENNARO FIORE</a></span>",2025-05-14,,872727.27,,SERVIZI,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B8297EE856&next=dettaglio_cig"" target=""_blank"">B8297EE856</a></span>",SERVIZI DI CYBERSECURITY,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=02850240587&next=dettaglio_sa"" target=""_blank"">COMUNE DI COLLEFERRO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B8297EE856&next=dettaglio_rup"" target=""_blank"">ALESSANDRO MIGLIORELLI</a></span>",2025-09-09,2025-09-29,76500.0,76500.0,SERVIZI,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B7B0353822&next=dettaglio_cig"" target=""_blank"">B7B0353822</a></span>","AZIENDA OSPEDALIERO-UNIVERSITARIA SAN LUIGI GONZAGA,ORBASSANO (TO) - LAVORI DI REALIZZAZIONE DI UNA BIOBANCA DIRICERCA E SVILUPPO PER IL DIPARTIMENTO DI SCIENZE CLINICHE EBIOLOGICHE.","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80088230018&next=dettaglio_sa"" target=""_blank"">UNIVERSITA' DEGLI STUDI DI TORINO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B7B0353822&next=dettaglio_rup"" target=""_blank"">BATTISTA TORTORELLA</a></span>",2025-07-17,,563554.34,,LAVORI,Torino
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B82CB38B8D&next=dettaglio_cig"" target=""_blank"">B82CB38B8D</a></span>",COLLOCAMENTO MINORI IN COMUNITA INNOCENTI LUGLIO - DICEMBRE 2025 - IMPORTO MERAMENTE PRESUNTO IN QUANTO DETERMINATO DA DISPOSIZIONI A.G. NON PREVENTIVAMENTE VALUTABILI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80050040635&next=dettaglio_sa"" target=""_blank"">CENTRO GIUSTIZIA MINORILE CAMPANIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B82CB38B8D&next=dettaglio_rup"" target=""_blank"">NICOLA PALMIERO</a></span>",2025-09-09,,80457.59,,SERVIZI,Napoli
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6646262E7&next=dettaglio_cig"" target=""_blank"">B6646262E7</a></span>","ACQUISIZIONE DELLE ATTIVITÀ INGEGNERISTICHE E TECNOLOGICHE PER L'IMPRESCINDIBILE ADEGUAMENTO, IN OTTICA DI SECURITY, DEI VOICE COMMUNICATION SYSTEMS DI EMERGENZA, PRESENTI NEGLI AEROPORTI DI MILANO LINATE, BOLOGNA, GENOVA, TORINO E FIUMICINO, CHE SONO STATI FORNITI E MESSI IN ESERCIZIO, PER ENAV, DA PARTE DELLA SOCIETÀ FREQUENTIS","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=97016000586&next=dettaglio_sa"" target=""_blank"">ENAV S.P.A.</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6646262E7&next=dettaglio_rup"" target=""_blank"">PIER PAOLO RAVAGLI</a></span>",2025-04-07,,400000.0,,FORNITURE,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B55BB8E397&next=dettaglio_cig"" target=""_blank"">B55BB8E397</a></span>",DET. 1492 DEL 20/12/2024 AGG. FORN. PIASTRE /PLACCHE MONOUSO PER DEFIBR. TRANSTORAC. 14 DAL 01/03/2025 AL 28/02/2030 ZOLL MEDICAL ITALIA S.R.L.,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=06485540485&next=dettaglio_sa"" target=""_blank"">ESTAR - ENTE DI SUPPORTO TECNICO AMMINISTRATIVO REGIONALE</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B55BB8E397&next=dettaglio_rup"" target=""_blank"">LEONARDO BECHINI</a></span>",2025-01-27,2025-01-27,319800.0,319800.0,FORNITURE,Firenze
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B675CE0615&next=dettaglio_cig"" target=""_blank"">B675CE0615</a></span>",AFFIDAMENTO IN-HOUSE AI SENSI DELL'ART. 7 D.LGS. 36/2023 A INNEXTA S.C.R.L. DEL SERVIZIODI FINANZIA LA TUA IMPRESA ANNO 2025,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=09920840965&next=dettaglio_sa"" target=""_blank"">CAMERA DI COMMERCIO DI MILANO MONZA BRIANZA LODI</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B675CE0615&next=dettaglio_rup"" target=""_blank"">MONICA MAURI</a></span>",2025-04-14,2025-04-10,75000.0,75000.0,SERVIZI,Milano
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B82A8FBA72&next=dettaglio_cig"" target=""_blank"">B82A8FBA72</a></span>",AFFIDAMENTO DI SERVIZIO TRASPORTO SCOLASTICO - AS 2025/2026,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=04110220409&next=dettaglio_sa"" target=""_blank"">COMUNE DI POGGIO TORRIANA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B82A8FBA72&next=dettaglio_rup"" target=""_blank"">FRANCESCA GOBBI</a></span>",2025-09-09,2025-10-31,60000.0,60000.0,SERVIZI,
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B74941928B&next=dettaglio_cig"" target=""_blank"">B74941928B</a></span>",CARRELLI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=97503840585&next=dettaglio_sa"" target=""_blank"">FONDAZIONE POLICLINICO TOR VERGATA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B74941928B&next=dettaglio_rup"" target=""_blank"">CRISTIANA LONGO</a></span>",2025-06-16,,135100.0,,FORNITURE,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B85DEBAAC9&next=dettaglio_cig"" target=""_blank"">B85DEBAAC9</a></span>","AOI 195 ADATTAMENTO E AMPLIAMENTO DELL'IMPIANTO DI EVACUAZIONE NEGLI OSPEDALI DI BRESSANONE E VIPITENO PROGETTAZIONE, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00773750211&next=dettaglio_sa"" target=""_blank"">AZIENDA SANITARIA DELL'ALTO ADIGE - SUEDTIROLER SANITAETSBETRIEB</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B85DEBAAC9&next=dettaglio_rup"" target=""_blank"">KLAUS GLAESERER</a></span>",2025-09-25,2025-09-24,84236.15,84236.15,SERVIZI,Bolzano/Bozen
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5F77EC7CD&next=dettaglio_cig"" target=""_blank"">B5F77EC7CD</a></span>",RECORDATI RARE DISEASES ITALY SRL - LOTTO 9,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=01684950593&next=dettaglio_sa"" target=""_blank"">ASL LATINA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5F77EC7CD&next=dettaglio_rup"" target=""_blank"">SIMONA CONTENTA</a></span>",2025-03-10,2025-03-10,137493.9,137493.9,FORNITURE,Latina
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5FDE25326&next=dettaglio_cig"" target=""_blank"">B5FDE25326</a></span>",ACQUISTO BUONI PASTO 10 LOTTO 14,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00316820547&next=dettaglio_sa"" target=""_blank"">COMUNE DI SPOLETO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5FDE25326&next=dettaglio_rup"" target=""_blank"">NORA BELMONTE</a></span>",2025-03-11,2025-03-17,96150.0,96150.0,SERVIZI,Perugia
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B90DADBF2E&next=dettaglio_cig"" target=""_blank"">B90DADBF2E</a></span>",SOLO TRACCIABILITA' COOP. ANIMAZIONE VALDOCCO IMPORTO PRESUNTO ANNO 2026,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00514490010&next=dettaglio_sa"" target=""_blank"">COMUNE DI TORINO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B90DADBF2E&next=dettaglio_rup"" target=""_blank"">SIMONA CAFFER</a></span>",2025-11-11,,500000.0,,SERVIZI,Torino
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B840FC0B56&next=dettaglio_cig"" target=""_blank"">B840FC0B56</a></span>","PROCEDURA APERTA, SUDDIVISA IN QUATTRO LOTTI, FINALIZZATA ALLA STIPULA DI CONVENZIONI QUADRO PER L'AFFIDAMENTO DEI SERVIZI POSTALI E SERVIZI A MONTE DEL RECAPITO, DESTINATI ALLE AMMINISTRAZIONI DEL TERRITORIO DELLA REGIONE LAZIO E DELLA REGIONE UMBRIA","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=85003290583&next=dettaglio_sa"" target=""_blank"">COMUNE DI ZAGAROLO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B840FC0B56&next=dettaglio_rup"" target=""_blank"">ANTONIO PISICCHIO</a></span>",2025-09-16,2025-09-16,100000.0,100000.0,SERVIZI,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=A066A810B9&next=dettaglio_cig"" target=""_blank"">A066A810B9</a></span>",SERVIZIO DI SOMMINISTRAZIONE DI LAVORO TEMPORANEO,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80014930327&next=dettaglio_sa"" target=""_blank"">REGIONE AUTONOMA FRIULI VENEZIA GIULIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=A066A810B9&next=dettaglio_rup"" target=""_blank"">MASSIMO ZANELLI</a></span>",2025-01-14,2025-01-14,422500.0,422500.0,SERVIZI,Trieste
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B707964067&next=dettaglio_cig"" target=""_blank"">B707964067</a></span>",FORNITURA DI TELAI PESANTI >= 35 Q.LI - 24 MESI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=02216751202&next=dettaglio_sa"" target=""_blank"">UNIFLOTTE S.R.L.</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B707964067&next=dettaglio_rup"" target=""_blank"">GIANLUCA LOMBARDI</a></span>",2025-05-27,2025-08-05,14180000.0,14180000.0,FORNITURE,Bologna
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B8431729BD&next=dettaglio_cig"" target=""_blank"">B8431729BD</a></span>",SERVIZI ALBERGHIERI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80197350582&next=dettaglio_sa"" target=""_blank"">PREFETTURA DI ROMA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B8431729BD&next=dettaglio_rup"" target=""_blank"">ELENA SOMASCA</a></span>",2025-09-17,2025-09-16,146812.0,146812.0,SERVIZI,Roma
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B90E5E6C19&next=dettaglio_cig"" target=""_blank"">B90E5E6C19</a></span>",CARBOPLATINO VARI DOSAGGI,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=06485540485&next=dettaglio_sa"" target=""_blank"">ESTAR - ENTE DI SUPPORTO TECNICO AMMINISTRATIVO REGIONALE</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B90E5E6C19&next=dettaglio_rup"" target=""_blank"">GABRIELE PACIOCCHI</a></span>",2025-11-11,,139900.0,,FORNITURE,Firenze
