file,pages,text_chars,method,note
CIG_B474D3250C.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B55BB8E397.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B5F0937C10.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B5F77EC7CD.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B5FDE25326.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B6646262E7.pdf,2,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B675CE0615.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B6A106A32A.pdf,2,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B6DD95EE23.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B74941928B.pdf,2,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B7B0353822.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B8297EE856.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B82A8FBA72.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B82CB38B8D.pdf,2,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
CIG_B85DEBAAC9.pdf,3,0,pypdf,PDF poco o non testuale; conservato come fonte originale.
pn vsf15-25-sua_lettera inv.-disciplinare_indifferenziata_2025-26_frascati.pdf,19,88932,pypdf,
